web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620505928-11307,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=11,"PH Amplio, Amueblado y con Acabados de Lujo en Cumbres del Lago","$28,500",3,"3
                                    
                                
                                Baños",233 m²
1620505741-10838,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=2,"Departamento amueblado  en renta en Adamant, Campanario","$14,000",2,"1
                                    
                                
                                Baño",52 m²
1620505761-10876,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/departamento/for-rent/?page=1,Departamento en Renta en La Reserva El Campanario,"$22,000",3,"3
                                    
                                
                                Baños",150 m²
1620506008-11532,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=4,"EXCELENTE DEPARTAMENTO NUEVO EN RENTA, FRACC. ALTOS JURIQUILLA","$12,750",2,"2
                                    
                                
                                Baños",92 m²
1620505979-11468,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=7,"DEPARTAMENTO LOFT EN RENTA AMUEBLADO, EN JURIQUILLA, 2 RECAMARAS 160 M2","$27,000",2,"2
                                    
                                
                                Baños",160 m²
1620505636-10615,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,"Bello departamento en renta Amueblado, Centro Sur OFP EX965","$21,000",2,"2
                                    
                                
                                Baños",87 m²
1620505346-10470,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/departamento/for-rent/?page=2,Departamento en renta,"$16,500",2,"2
                                    
                                
                                Baños",105 m²
1620505780-10932,https://www.lamudi.com.mx/queretaro-arteaga/el-marques/el-mirador-128/departamento/for-rent/?page=2,Renta Depto Queretaro Amueblado 1 Rec Latitud Victoria Centro,"$14,500",1,"1
                                    
                                
                                Baño",100 m²
1620505636-10602,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/departamento/for-rent/?page=2,Espectacular Departamento de 2 Recámaras y 2  Baños en Centro Sur Ofp 19-600,"$15,000",2,"2
                                    
                                
                                Baños",87 m²
1620505997-11502,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/juriquilla/departamento/for-rent/?page=5,DEPARTAMENTO EN JURIQUILLA SANTA FE,"$21,000",3,"2
                                    
                                
                                Baños",130 m²
