web-scraper-order,web-scraper-start-url,titulo,precio,habts,ban,mets
1620515713-13785,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=24,Casa con accesos directos y excelente ubicación AGT,"$3,190,000",3,3,130
1620519501-14224,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=9,El Refugio - Casa a estrenar en VENTA con recámara en planta baja...,"$2,997,650",4,4,156
1620512683-12449,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=33,"Casa sola en Venta, en Residencial el Refugio, Querétaro","$2,990,000",3,6,190
1620517348-13989,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=17,Casa en Venta en El Refugio,"$2,600,000",2,3,184
1620520143-14283,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=7,"Casa en Venta Querétaro El Refugio Privada en esquina, vigilancia 24/7","$3,250,000",2,3,142
1620518743-14142,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,"Venta de Casa con Control de Acceso, El Refugio.","$2,775,000",3,4,156
1620500978-7767,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=6,"CASA EN VENTA EN CUMBRES DEL LAGO JURIQUILLA CON  4 REC, 1 EN PB","$5,300,000",4,5,315
1620503212-8823,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=1,Casa en condominio cerrado en Centro Sur de 245 mts2! RAHQRO 19-2178,"$3,800,000",2,4,245
1620512666-12446,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=33,"Casa en condominio en Venta, en Residencial el Refugio, Querétaro","$4,500,000",5,9,320
1620500825-7757,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=7,Hermosa Casa en venta cocina espectacular en Cumbres del Lago Juriquilla,"$5,300,000",3,3,300
1620512689-12450,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=33,"Preciosa Casa en El Refugio, 3 Recamaras, 2.5 Baños, Jardín, Equipada, Luxury","$3,190,000",2,2,160
1620518652-14134,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=12,"Casa de 3 Recamaras, Equipada en El Refugio Querétaro  20-3370","$2,380,000",3,3,110
1620510367-12106,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/milenio-iii-10/casa/for-sale/?page=5,"CASA EN VENTA EN MILENIO III, T. 216 M2, C. 212, 4 RECÁMARAS","$3,550,000",2,2,212
1620508144-11862,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=2,"Casa estilo mexicano contemporáneo en una de las zonas más tradicionales y exclusivas de Querétaro! A 15 minutos del centro de la ciudad y de la salida a México, cuenta con una inmejorable ubicación!","$10,990,000",6,4,425
1620522100-14488,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=10,Casa en esquina de 4 dormitorios y 311 mts2 en El Mirador! RAHQRO,"$5,000,000",3,4,311
1620526249-14879,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-campanario-28/casa/for-sale/?page=7,Casa en venta El Campanario 4 habitaciones JRH,"$19,990,000",4,4,700
1620520405-14310,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=6,Casa con acabados de lujos con 4 recamaras en El Refugio YCC,"$4,100,000",4,3,219
1620498980-7532,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=15,Casa en venta Cumbres del Lago 2 habitaciones JGCC,"$2,704,000",2,2,210
1620516884-13935,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=19,El Refugio casa de estilo contemporáneo y 182 mts2! RAHH,"$3,200,000",2,3,182
1620503132-8813,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=2,Claustros de Santiago en Centro Sur 3 Rec Sala de tv Estudio,"$5,000,000",3,5,200
1620505843-11097,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=9,Casa en Venta Jurica 5 Habitaciones Jrh,"$16,500,000",5,4,780
1620517121-13968,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=18,Casa de tres niveles en El Refugio de 3 dormitorios y 180 mts2! ATC,"$3,000,000",2,3,180
1620499406-7603,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/cumbres-del-lago/casa/for-sale/?page=12,"Exclusivo fraccionamiento con mayor desarrollo, casa en Cumbres del lago! RAHQRO","$4,200,000",2,3,280
1620503159-8817,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=2,Casa en venta Centro Sur 3 habitaciones YCC,"$1,800,000",3,2,140
1620512702-12452,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=33,"Preciosa Casa en El Refugio, Techos Altos, 3 Recamaras,  Equipada, Persianas,..","$2,700,000",2,2,210
1620503340-8841,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/centro-sur/casa/for-sale/?page=1,"Preciosa Casa en Centro Sur, GRAN UBICACIÓN, 3 Recamaras, Cto Serv, Jardín,..","$3,980,000",2,2,200
1620507652-11810,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/jurica-1/casa/for-sale/?page=3,Casa - Jurica,"$16,500,000",5,4,500
1620521558-14430,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=2,Casa en Venta en el Refugio,"$2,800,000",2,3,182
1620521791-14454,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=1,Casa a estrenar en El Refugio de 3 recamaras! RAHH 20-3309,"$5,290,000",2,3,261
1620515862-13804,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-refugio-82/casa/for-sale/?page=23,Casa en venta El Refugio 3 habitaciones JGCC,"$2,450,000",3,2.5,120
1620522645-14543,https://www.lamudi.com.mx/queretaro-arteaga/queretaro/el-mirador-92/casa/for-sale/?page=8,Bella casa de arquitecto a estrenar en Fraccionamiento El Mirador.,"$2,490,000",3,3,177
